"Zeitstempel","Dein Alter","Dein Wohnort ","Die Sprachen, die Du bevorzugst zu sprechen","Welche Plattform bevorzugst Du für die Kommunikation mit anderen?","Deine Top 3 Games (1/3)","Deine Top 3 Games (2/3)","Deine Top 3 Games (3/3)","Wie lange spielst Du in einer Woche (im Durchschnitt)?","Wie schätz Du dich beim zocken ein?","Deine Freizeitaktivitäten sind.. (1/3)","Deine Freizeitaktivitäten sind.. (2/3)","Deine Freizeitaktivitäten sind.. (3/3)"
"2021/10/02 12:39:19 PM MEZ","23","Mannheim","Deutsch","Discord","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Fortnite","Weniger als 10 Stunden","6","Verreisen","Essen (Foodie)","mit Freunden ausgehen"
"2021/10/02 12:45:05 PM MEZ","24","Stuttgart","Deutsch","PS Party","Call of Duty (COD)","Grand Theft Auto (GTA) Online","FIFA","10 - 15 Stunden","5","mit Freunden ausgehen","Animes schauen","Sport"
"2021/10/02 12:49:30 PM MEZ","27","Mannheim","Englisch","Discord","Grand Theft Auto (GTA) Online","Fortnite","Andere Spiele","Weniger als 10 Stunden","5","Netflix schauen","Essen (Foodie)","mit Freunden ausgehen"
"2021/10/02 1:03:58 PM MEZ","29 ","Neuhausen","Deutsch","PS Party","Call of Duty (COD)","Grand Theft Auto (GTA) Online","Andere Spiele","Weniger als 10 Stunden","2","Verreisen","Essen (Foodie)","mit Freunden ausgehen"
"2021/10/02 1:27:54 PM MEZ","20","Stuttgart","Deutsch","PS Party","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Rocket league","Weniger als 10 Stunden","8","Animes schauen","Sport","Essen (Foodie)"
"2021/10/02 8:43:40 PM MEZ","20","Sindelfingen","Deutsch","Discord","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Battlefield","Weniger als 10 Stunden","10","Animes schauen","Kinos besuchen","Verreisen"
"2021/10/02 8:53:50 PM MEZ","23","Vaihingen Enz","Englisch","PS Party","Call of Duty (COD)","Grand Theft Auto (GTA) Online","FIFA","10 - 15 Stunden","8","Animes schauen","Sport","Netflix schauen"
"2021/10/02 8:58:11 PM MEZ","22","Karlsruhe","Englisch","Discord","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Tekken","Weniger als 10 Stunden","8","Animes schauen","mit Freunden ausgehen","Kinos besuchen"
"2021/10/03 1:14:04 PM MEZ","24","Deutschland ","Deutsch","PS Party","FIFA","Tekken","Grand Theft Auto (GTA) Online","Weniger als 10 Stunden","1","Netflix schauen","Lesen","Musik"
"2021/10/03 2:41:08 PM MEZ","29","Pforzheim","Deutsch","Discord","FIFA","APEX","Call of Duty (COD)","Weniger als 10 Stunden","8","Essen (Foodie)","Netflix schauen","Kochen/Backen"
"2021/10/03 2:45:35 PM MEZ","25","Stuttgart","Deutsch","PS Party","FIFA","Grand Theft Auto (GTA) Online","Call of Duty (COD)","10 - 15 Stunden","8","Verreisen","Sport","Animes schauen"
"2021/10/04 12:24:29 PM MEZ","28","Winnenden","Deutsch","Discord","FIFA","Call of Duty (COD)","Grand Theft Auto (GTA) Online","Weniger als 10 Stunden","4","Sport","Animes schauen","mit Freunden ausgehen"
"2021/10/04 12:30:05 PM MEZ","18","Stuttgart ","Deutsch","PS Party","Grand Theft Auto (GTA) Online","Fortnite","Keine weiteren Spiele","Weniger als 10 Stunden","8","Sport","Netflix schauen","Musik"
"2021/10/04 12:32:45 PM MEZ","30 ","Stuttgart ","Englisch","PS Party","FIFA","Grand Theft Auto (GTA) Online","Tekken","Weniger als 10 Stunden","5","Sport","Essen (Foodie)","Verreisen"
"2021/10/04 12:33:43 PM MEZ","18","Stuttgart ","Deutsch","Andere Plattformen","FIFA","Grand Theft Auto (GTA) Online","Rocket league","10 - 15 Stunden","7","Sport","mit Freunden ausgehen","Animes schauen"
"2021/10/04 1:28:31 PM MEZ","30","Stuttgart ","","PS Party","FIFA","Call of Duty (COD)","Dragon Ball FighterZ","Weniger als 10 Stunden","4","Sport","Verreisen","Netflix schauen"
"2021/10/04 3:24:59 PM MEZ","30","Leck (Nordfriesland) ","Deutsch","PS Party","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Destiny","16 - 20 Stunden","5","Musik","Andere","Keine weiteren"
"2021/10/04 3:25:42 PM MEZ","33","Kaufbeuren","Deutsch","PS Party","Dead By Daylight","Call of Duty (COD)","Andere Spiele","16 - 20 Stunden","7","Musik","Kochen/Backen","Netflix schauen"
"2021/10/04 3:39:01 PM MEZ","30","Würzburg","Deutsch","Andere Plattformen","Battlefield","Andere Spiele","Andere Spiele","21 - 25 Stunden","8","Kinos besuchen","Netflix schauen","Lesen"
"2021/10/04 3:42:35 PM MEZ","31","Durchhausen (bei Villingen-Schwenningen) ","Deutsch","PS Party","The Division","Andere Spiele","Dragon Ball FighterZ","Weniger als 10 Stunden","5","Verreisen","Animes schauen","Netflix schauen"
"2021/10/04 3:43:20 PM MEZ","26","Gerstetten","Deutsch","PS Party","Minecraft","Warframe","Andere Spiele","Weniger als 10 Stunden","6","Netflix schauen","Kochen/Backen","Musik"
"2021/10/04 3:43:32 PM MEZ","29","Bad Zwischenahn ","Deutsch","PS Party","Call of Duty (COD)","Battlefield","Andere Spiele","21 - 25 Stunden","8","Netflix schauen","Verreisen","Kochen/Backen"
