"Zeitstempel","Dein Alter","Dein Geschlecht","Dein Wohnort","Die Sprachen, die Du bevorzugst zu sprechen","Welche Plattform bevorzugst Du für die Kommunikation mit anderen?","Deine Top 3 Games (1/3)","Deine Top 3 Games (2/3)","Deine Top 3 Games (3/3)","Wie lange spielst Du in einer Woche (im Durchschnitt)?","Wie schätz Du dich beim zocken ein?","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [Dein Lieblingshobby]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [2ter Platz]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [3ter Platz]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [4ter Platz]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [5ter Platz]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [6ter Platz]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [7ter Platz]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [8ter Platz]","Deine Freizeitaktivitäten (Ranking von Platz 1 (bester Platz) zu Platz 10 (schlechtester Platz)) [Letzter Platz]"
"2021/10/08 1:19:33 PM MEZ","19","Weiblich","Baden-Wuerttemberg","Deutsch","Andere Plattformen","Call of Duty (COD)","Tekken","FIFA","Weniger als 10 Stunden","8","weitere Serien/Filme schauen","mit Freunden ausgehen","Verreisen","Essen (Foodie)","Musik","Backen/Kochen","Sport","Lesen","Animes schauen"
"2021/10/08 1:22:14 PM MEZ","24","Weiblich","Baden-Wuerttemberg","Deutsch","Andere Plattformen","FIFA","Tekken","Andere Spiele","Weniger als 10 Stunden","2","mit Freunden ausgehen","weitere Serien/Filme schauen","Musik","Lesen","Backen/Kochen","Essen (Foodie)","Verreisen","Sport","Animes schauen"
"2021/10/08 1:24:59 PM MEZ","19","Möchte ich nicht sagen","Baden-Wuerttemberg","Deutsch","Andere Plattformen","Tekken","FIFA","Call of Duty (COD)","Weniger als 10 Stunden","4","mit Freunden ausgehen","Essen (Foodie)","Backen/Kochen","weitere Serien/Filme schauen","Lesen","Musik","Verreisen","Sport","Animes schauen"
"2021/10/08 2:41:12 PM MEZ","29","Weiblich","Baden-Wuerttemberg","Deutsch","PS Party","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Keine weiteren Spiele","Weniger als 10 Stunden","2","Essen (Foodie)","Verreisen","weitere Serien/Filme schauen","Sport","Animes schauen","mit Freunden ausgehen","Musik","Lesen","Backen/Kochen"
"2021/10/08 2:56:03 PM MEZ","26","Männlich","Baden-Wuerttemberg","Deutsch","PS Party","FIFA","Call of Duty (COD)","Tekken","Weniger als 10 Stunden","8","mit Freunden ausgehen","Sport","weitere Serien/Filme schauen","Lesen","Verreisen","Musik","Essen (Foodie)","Backen/Kochen","Animes schauen"
"2021/10/08 6:02:06 PM MEZ","28","Männlich","Baden-Wuerttemberg","Deutsch","Discord","FIFA","Call of Duty (COD)","Grand Theft Auto (GTA) Online","Weniger als 10 Stunden","5","Sport","Animes schauen","Verreisen","Essen (Foodie)","mit Freunden ausgehen","Musik","Lesen","Backen/Kochen","weitere Serien/Filme schauen"
"2021/10/10 3:15:16 PM MEZ","24","Weiblich","Baden-Wuerttemberg","Deutsch","PS Party","Grand Theft Auto (GTA) Online","Call of Duty (COD)","APEX","Weniger als 10 Stunden","5","Verreisen","mit Freunden ausgehen","Musik","Animes schauen","Sport","weitere Serien/Filme schauen","Lesen","Backen/Kochen","Essen (Foodie)"
"2021/10/10 3:29:37 PM MEZ","24","Weiblich","Baden-Wuerttemberg","Deutsch","PS Party","Grand Theft Auto (GTA) Online","Call of Duty (COD)","Black Desert","10 - 15 Stunden","8","Essen (Foodie)","Verreisen","Animes schauen","weitere Serien/Filme schauen","Sport","Musik","mit Freunden ausgehen","Backen/Kochen","Lesen"
"2021/10/14 12:37:26 PM MEZ","19","Männlich","Baden-Wuerttemberg","Englisch","Discord","Call of Duty (COD)","Grand Theft Auto (GTA) Online","Dragon Ball FighterZ","10 - 15 Stunden","8","Animes schauen","Essen (Foodie)","weitere Serien/Filme schauen","Musik","Lesen","Sport","Verreisen","mit Freunden ausgehen","Backen/Kochen"
"2021/10/15 2:26:14 PM MEZ","25","Männlich","Baden-Wuerttemberg","Deutsch","PS Party","Call of Duty (COD)","APEX","Grand Theft Auto (GTA) Online","10 - 15 Stunden","7","Verreisen","Sport","Animes schauen","mit Freunden ausgehen","weitere Serien/Filme schauen","Essen (Foodie)","Lesen","Musik","Backen/Kochen"
"2021/10/26 8:51:22 PM MEZ","24","Männlich","Baden-Wuerttemberg","Deutsch","Andere Plattformen","Call of Duty (COD)","FIFA","Battlefield","Weniger als 10 Stunden","3","Sport","mit Freunden ausgehen","weitere Serien/Filme schauen","Musik","Lesen","Verreisen","Backen/Kochen","Essen (Foodie)","Animes schauen"
"2021/10/27 9:11:11 AM MEZ","22","Männlich","Baden-Wuerttemberg","Englisch","Andere Plattformen","NBA","APEX","Grand Theft Auto (GTA) Online","Weniger als 10 Stunden","8","Sport","Verreisen","Essen (Foodie)","mit Freunden ausgehen","Animes schauen","Musik","weitere Serien/Filme schauen","Backen/Kochen","Lesen"
"2021/10/27 9:11:36 AM MEZ","26","Weiblich","Baden-Wuerttemberg","Deutsch","Discord","Call of Duty (COD)","Dragon Ball FighterZ","Minecraft","Weniger als 10 Stunden","10","Animes schauen","mit Freunden ausgehen","weitere Serien/Filme schauen","Essen (Foodie)","Musik","Lesen","Backen/Kochen","Verreisen","Sport"
